sample,slice,method,pore_fraction,pore_pixels,total_pixels
sample_01,set1sample2raw_0450,otsu,2.5e-05,25,989800
sample_01,set1sample2raw_0450,yen,0.434483,430051,989800
sample_01,set1sample2raw_0450,bernsen,0.000874,865,989800
sample_02,set1sample3raw_0450,otsu,0.035237,35267,1000844
sample_02,set1sample3raw_0450,yen,0.378977,379297,1000844
sample_02,set1sample3raw_0450,bernsen,0.078491,78557,1000844
sample_03,set1sample4raw_0450,otsu,0.001095,1088,993840
sample_03,set1sample4raw_0450,yen,0.485464,482474,993840
sample_03,set1sample4raw_0450,bernsen,0.003067,3048,993840
sample_04,set1sample5raw_0374,otsu,0.001304,1296,993840
sample_04,set1sample5raw_0374,yen,0.402699,400218,993840
sample_04,set1sample5raw_0374,bernsen,0.011872,11799,993840
sample_05,set1sample6raw_0450,otsu,0.004257,4243,996792
sample_05,set1sample6raw_0450,yen,0.00307,3060,996792
sample_05,set1sample6raw_0450,bernsen,0.004456,4442,996792
