sample,slice,method,porosity,pore_count,mean_pore_area_px,mean_pore_area_um2,mean_equivalent_diameter_px,mean_equivalent_diameter_um
sample_01,set1sample2raw_0450,otsu,2.5e-05,3,8.3333,8.3333,3.2194,3.2194
sample_01,set1sample2raw_0450,yen,0.434483,2209,193.2689,193.2689,5.1958,5.1958
sample_01,set1sample2raw_0450,bernsen,0.000874,23,36.6522,36.6522,6.2855,6.2855
sample_02,set1sample3raw_0450,otsu,0.035237,428,81.8341,81.8341,8.2962,8.2962
sample_02,set1sample3raw_0450,yen,0.378977,454,833.6255,833.6255,10.4412,10.4412
sample_02,set1sample3raw_0450,bernsen,0.078491,539,145.3748,145.3748,10.8391,10.8391
sample_03,set1sample4raw_0450,otsu,0.001095,18,59.9444,59.9444,7.8421,7.8421
sample_03,set1sample4raw_0450,yen,0.485464,1987,241.5843,241.5843,5.4825,5.4825
sample_03,set1sample4raw_0450,bernsen,0.003067,54,54.1111,54.1111,6.3549,6.3549
sample_04,set1sample5raw_0374,otsu,0.001304,32,39.3125,39.3125,5.4385,5.4385
sample_04,set1sample5raw_0374,yen,0.402699,1307,304.2716,304.2716,5.5907,5.5907
sample_04,set1sample5raw_0374,bernsen,0.011872,143,81.7902,81.7902,7.3138,7.3138
sample_05,set1sample6raw_0450,otsu,0.004257,8,530.125,530.125,16.0059,16.0059
sample_05,set1sample6raw_0450,yen,0.00307,6,510.0,510.0,16.9282,16.9282
sample_05,set1sample6raw_0450,bernsen,0.004456,8,555.25,555.25,16.0979,16.0979
